id,menu_id,total,estado,restaurante_id,usuario_id,fecha_creacion
1,330,72.82,PICKED_UP,64,2218,2025-06-01 19:51:49
2,455,11.73,READY,151,7786,2025-06-01 19:59:24
3,573,30.02,PICKED_UP,8,3861,2025-06-01 19:55:05
4,361,91.3,PENDING,26,3108,2025-06-01 19:59:05
5,767,35.88,PICKED_UP,61,4747,2025-06-01 19:48:48
6,142,58.64,PENDING,94,5263,2025-06-01 19:46:52
7,363,61.89,PICKED_UP,156,5168,2025-06-01 19:50:55
8,128,72.62,PICKED_UP,130,5866,2025-06-01 19:44:37
9,271,15.32,PENDING,142,4511,2025-06-01 19:59:36
10,366,54.06,READY,19,2492,2025-06-01 19:52:34
11,114,23.67,READY,185,3101,2025-06-01 19:50:22
12,799,52.43,CANCELLED,135,1077,2025-06-01 19:59:13
13,696,11.49,READY,54,1330,2025-06-01 19:59:53
14,780,44.76,PICKED_UP,86,4690,2025-06-01 19:44:11
15,476,67.28,READY,179,4815,2025-06-01 19:56:54
16,251,61.74,PICKED_UP,14,6506,2025-06-01 19:58:03
17,773,35.66,CANCELLED,171,5096,2025-06-01 19:54:40
18,678,26.26,READY,156,1792,2025-06-01 19:52:11
19,105,59.44,READY,30,3023,2025-06-01 19:46:42
20,500,65.69,READY,193,4905,2025-06-01 19:47:09
21,682,21.77,PICKED_UP,81,6953,2025-06-01 19:48:46
22,235,91.29,PENDING,199,6402,2025-06-01 19:54:34
23,633,33.78,PENDING,163,6003,2025-06-01 19:47:23
24,207,38.44,CANCELLED,176,7928,2025-06-01 20:00:27
25,439,80.14,CANCELLED,109,1639,2025-06-01 19:53:22
26,355,89.41,READY,25,5910,2025-06-01 19:44:03
27,371,80.21,READY,169,2702,2025-06-01 19:52:12
28,225,63.26,CANCELLED,174,7245,2025-06-01 19:59:32
29,365,64.2,PENDING,73,397,2025-06-01 19:55:24
30,317,88.26,PENDING,39,5522,2025-06-01 19:53:46
31,197,86.9,READY,195,6190,2025-06-01 19:52:40
32,625,8.31,PENDING,89,957,2025-06-01 19:46:41
33,438,45.13,PICKED_UP,199,6175,2025-06-01 19:53:24
34,501,23.72,CANCELLED,159,6358,2025-06-01 19:52:27
35,756,25.47,CANCELLED,175,4869,2025-06-01 19:48:15
36,490,31.64,READY,160,2484,2025-06-01 19:52:00
37,774,95.41,CANCELLED,94,2125,2025-06-01 20:00:39
38,65,27.25,READY,54,802,2025-06-01 19:54:47
39,389,37.05,READY,42,2883,2025-06-01 19:48:45
40,324,23.27,READY,13,6284,2025-06-01 19:49:10
41,336,57.74,CANCELLED,96,7751,2025-06-01 19:52:46
42,506,93.05,READY,28,7336,2025-06-01 19:51:44
43,491,13.4,PICKED_UP,118,6089,2025-06-01 19:48:47
44,693,5.52,PICKED_UP,65,2445,2025-06-01 19:49:50
45,709,29.19,READY,200,2419,2025-06-01 19:45:53
46,181,49.08,PICKED_UP,90,1010,2025-06-01 20:00:34
47,664,47.94,CANCELLED,77,6708,2025-06-01 19:44:42
48,369,61.76,READY,21,5009,2025-06-01 19:54:00
49,375,30.91,READY,197,1094,2025-06-01 20:01:11
50,418,46.55,PENDING,57,601,2025-06-01 19:51:19
51,44,21.98,CANCELLED,164,2229,2025-06-01 19:55:02
52,591,94.62,PENDING,87,7266,2025-06-01 19:47:01
53,758,76.23,PENDING,58,6332,2025-06-01 19:55:21
54,136,54.43,CANCELLED,61,5130,2025-06-01 19:54:59
55,88,27.78,PICKED_UP,13,4965,2025-06-01 19:57:11
56,730,58.9,CANCELLED,128,7632,2025-06-01 20:00:53
57,193,27.44,PICKED_UP,137,1966,2025-06-01 19:44:27
58,742,38.99,PENDING,161,7064,2025-06-01 19:43:29
59,715,88.76,READY,31,5436,2025-06-01 19:59:53
60,203,73.5,READY,39,5242,2025-06-01 19:59:34
61,432,84.09,READY,112,4161,2025-06-01 19:49:19
62,122,86.35,READY,109,3738,2025-06-01 19:50:04
63,330,89.95,PICKED_UP,46,3995,2025-06-01 19:44:35
64,634,34.33,PENDING,193,5843,2025-06-01 19:43:38
65,682,71.12,PICKED_UP,71,7693,2025-06-01 19:58:38
66,301,58.14,PICKED_UP,60,7019,2025-06-01 19:59:30
67,381,10.37,CANCELLED,187,279,2025-06-01 19:58:10
68,115,24.64,PENDING,120,3808,2025-06-01 19:58:55
69,277,69.8,PICKED_UP,43,7197,2025-06-01 19:57:11
70,420,82.41,PENDING,161,2859,2025-06-01 19:46:22
71,244,77.67,PENDING,159,5357,2025-06-01 19:55:33
72,42,16.63,READY,138,4298,2025-06-01 19:44:58
73,223,33.83,PICKED_UP,193,1389,2025-06-01 20:00:46
74,210,40.65,READY,121,7275,2025-06-01 19:56:45
75,417,51.18,PICKED_UP,103,2156,2025-06-01 19:59:56
76,701,14.85,READY,116,2065,2025-06-01 19:44:35
77,582,35.35,READY,193,2581,2025-06-01 19:53:09
