id,usuario_id,restaurante_id,fecha,hora,invitados,estado,menu_id,pedido_id
1,3677,56,2025-06-01,19:59:29,7,ACTIVE,620,28306
2,829,46,2025-06-01,19:50:19,7,CANCELLED,688,19651
3,4408,52,2025-06-01,19:44:06,4,ACTIVE,464,7791
4,1741,74,2025-06-01,20:00:02,6,CANCELLED,691,888
5,7993,45,2025-06-01,19:43:16,4,ACTIVE,454,8910
6,2450,5,2025-06-01,19:46:59,3,CANCELLED,339,22756
7,4879,18,2025-06-01,19:43:32,7,ACTIVE,593,29886
8,6803,22,2025-06-01,19:52:52,6,CANCELLED,551,8052
9,6234,101,2025-06-01,19:56:30,7,CANCELLED,286,19243
10,2915,42,2025-06-01,19:59:36,2,CANCELLED,331,11453
11,5631,8,2025-06-01,19:46:55,2,CANCELLED,448,29306
12,1898,71,2025-06-01,19:54:15,4,CANCELLED,700,15735
13,3294,110,2025-06-01,19:47:13,7,ACTIVE,672,4737
14,1305,88,2025-06-01,19:46:35,6,CANCELLED,75,21769
15,1772,104,2025-06-01,19:56:25,5,ACTIVE,45,7791
16,6155,110,2025-06-01,19:55:48,2,CANCELLED,237,4399
17,1148,162,2025-06-01,19:55:50,3,ACTIVE,536,17380
18,1988,36,2025-06-01,19:58:25,8,ACTIVE,676,18460
19,917,32,2025-06-01,19:56:52,4,ACTIVE,67,447
20,3555,190,2025-06-01,19:48:13,2,ACTIVE,673,9857
21,1761,26,2025-06-01,19:49:54,3,CANCELLED,749,11708
22,2483,137,2025-06-01,19:52:56,7,CANCELLED,293,994
23,5363,126,2025-06-01,19:49:34,5,CANCELLED,776,26433
24,7737,51,2025-06-01,19:54:03,7,ACTIVE,138,10068
25,917,129,2025-06-01,19:58:58,5,CANCELLED,794,4657
26,108,14,2025-06-01,19:50:19,1,CANCELLED,461,18586
27,758,56,2025-06-01,19:48:29,1,ACTIVE,500,1730
28,94,131,2025-06-01,19:50:29,1,ACTIVE,20,15843
29,5147,18,2025-06-01,19:56:21,6,CANCELLED,532,5168
30,4018,78,2025-06-01,19:56:02,5,CANCELLED,670,4308
31,6381,196,2025-06-01,19:51:52,8,ACTIVE,372,9745
32,3484,176,2025-06-01,19:57:18,4,CANCELLED,509,5842
33,460,22,2025-06-01,19:45:34,2,ACTIVE,594,20824
34,2814,195,2025-06-01,19:54:49,5,ACTIVE,680,6868
35,6220,116,2025-06-01,19:54:52,5,ACTIVE,117,29466
36,1982,87,2025-06-01,20:00:20,6,CANCELLED,284,8687
37,7656,108,2025-06-01,19:47:04,1,CANCELLED,325,3654
38,3966,159,2025-06-01,20:00:52,2,CANCELLED,573,23733
39,7424,147,2025-06-01,19:53:14,5,CANCELLED,334,28071
40,7830,19,2025-06-01,19:54:25,4,CANCELLED,762,10606
41,5444,143,2025-06-01,20:00:08,3,CANCELLED,321,2458
42,2326,145,2025-06-01,19:59:09,2,ACTIVE,521,11598
43,4727,57,2025-06-01,19:48:35,7,ACTIVE,562,24617
44,7779,9,2025-06-01,19:55:43,5,ACTIVE,549,25463
45,1539,114,2025-06-01,19:54:02,3,ACTIVE,56,28678
46,820,35,2025-06-01,19:56:21,2,CANCELLED,525,18010
47,5548,77,2025-06-01,19:51:15,7,ACTIVE,361,17429
48,7325,134,2025-06-01,20:01:10,4,ACTIVE,436,11505
49,507,176,2025-06-01,19:45:37,5,ACTIVE,699,21314
50,4278,33,2025-06-01,19:49:37,8,ACTIVE,141,10271
