id,nombre,direccion,telefono,capacidad,categoria_local,lat,lon
1,Solorio S.A.,"Periférico Norte Chapa 970 Interior 688, Cartago, CR",1-023-516-4319x8045,76,casual,9.861415,-83.92935
2,Domínguez-Saldivar e Hijos,"Privada Panamá 790 Edif. 195 , Depto. 401, Cartago, CR",1-913-946-6680x4617,32,fast-food,9.865372,-83.944456
3,Guillen-Llamas,"Retorno Oquendo 103 Interior 260, Cartago, CR",+34(3)4164374325,41,fast-food,9.872956,-83.934904
4,Ordóñez-Montero,"Andador Sur Gálvez 688 Edif. 991 , Depto. 961, Cartago, CR",1-776-114-6127x33047,70,fast-food,9.851204,-83.938962
5,Club Malave-Pabón,"Continuación Namibia 325 Interior 341, Cartago, CR",(620)504-7562x123,43,fast-food,9.881655,-83.896469
6,Proyectos Valencia y Serrano,"Calle Norte Abrego 136 Interior 175, Cartago, CR",(411)694-6832x3643,37,gourmet,9.851761,-83.906369
7,"Club Guillen, Arteaga y Zarate","Continuación Irlanda 535 Edif. 126 , Depto. 295, Cartago, CR",+44(4)3499209431,115,casual,9.866282,-83.93413
8,Botello-Samaniego S. R.L. de C.V.,"Calzada Niger 138 Interior 734, Cartago, CR",(671)065-6487x8195,120,casual,9.857583,-83.903934
9,Despacho Vaca-Collado,"Boulevard Norte Gonzales 240 589, Cartago, CR",1-784-207-3423x2767,65,casual,9.859189,-83.912174
10,"Burgos, Bravo y Salcedo","Viaducto India 271 768, Cartago, CR",874.467.9233x5669,33,fast-food,9.862256,-83.935217
11,Corporacin Rodríguez y Olivas,"Circuito Zacatecas 950 Interior 659, Cartago, CR",1-191-286-2968,77,casual,9.871721,-83.934755
12,Industrias Martínez-Aguilera,"Circunvalación Guanajuato 753 Edif. 210 , Depto. 783, Cartago, CR",988-429-6528x020,85,fast-food,9.869791,-83.912467
13,Delgado y Vela S.A. de C.V.,"Ampliación Aguascalientes 236 Interior 245, Cartago, CR",06910766691,94,fast-food,9.86577,-83.926619
14,"Corporacin Partida, Gamez y Menéndez","Pasaje Kirguistán 112 Edif. 424 , Depto. 988, Cartago, CR",171-705-3211,46,gourmet,9.881505,-83.933243
15,Grupo Mojica-Vanegas,"Diagonal San Luis Potosí 557 760, Cartago, CR",966.149.4389x302,103,fast-food,9.868543,-83.907853
16,"Industrias Rosas, Adame y Escobar","Calzada Mireles 843 371, Cartago, CR",999-025-3794,96,gourmet,9.854304,-83.926123
17,López S.A.,"Retorno Carrera 663 Edif. 997 , Depto. 275, Cartago, CR",000.979.4737,91,gourmet,9.871738,-83.911856
18,Despacho Núñez-Soto,"Peatonal México 867 Edif. 106 , Depto. 306, Cartago, CR",(121)906-9339x90350,74,fast-food,9.867326,-83.900331
19,"Barrios, Tirado y Lucero","Diagonal Sur Barela 835 Interior 237, Cartago, CR",+96(0)6910844921,53,casual,9.84531,-83.913157
20,Laboratorios Escalante y Godínez,"Continuación Malasia 054 483, Cartago, CR",+78(9)6112927143,117,gourmet,9.883341,-83.934282
21,Montez-Navarrete,"Privada Norte Olmos 294 Interior 749, Cartago, CR",(760)608-5851x6919,96,casual,9.845499,-83.938833
22,Beltrán-Burgos,"Continuación Vietman 861 Edif. 650 , Depto. 721, Cartago, CR",(918)319-0580x55721,88,gourmet,9.874442,-83.932531
23,Laboratorios Durán-Cantú,"Calzada Sarabia 691 Interior 776, Cartago, CR",1-818-503-1236,90,fast-food,9.854786,-83.912663
24,Ureña-Leal,"Viaducto Campos 382 Interior 615, Cartago, CR",021-618-0457,107,fast-food,9.882289,-83.914351
25,Zapata y Quesada A.C.,"Privada Côte d'Ivoire 848 Edif. 817 , Depto. 565, Cartago, CR",(213)632-1104,119,gourmet,9.872929,-83.904967
26,Gastélum y Casillas S.C.,"Corredor Borrego 065 486, Cartago, CR",(291)846-0244x594,79,gourmet,9.881021,-83.911726
27,Ceja y Ibarra S.C.,"Ampliación Norte Briseño 555 Edif. 663 , Depto. 181, Cartago, CR",1-982-870-8497x167,57,fast-food,9.865106,-83.94118
28,Pedraza-Cisneros e Hijos,"Calle Norte Gálvez 611 Interior 262, Cartago, CR",551.534.8669x56634,87,gourmet,9.880646,-83.912435
29,Ruiz y Juárez S.A. de C.V.,"Privada Norte Bustos 263 Edif. 930 , Depto. 488, Cartago, CR",990.603.8741,114,gourmet,9.86022,-83.898135
30,Centeno-Negrete y Asociados,"Pasaje México 709 260, Cartago, CR",411-655-4357,65,gourmet,9.855043,-83.905877
31,Industrias Linares y Fonseca,"Periférico Yucatán 425 Interior 002, Cartago, CR",04190944373,92,fast-food,9.863422,-83.922293
32,"Reynoso, del Río y Venegas","Circuito Casares 152 Interior 219, Cartago, CR",241.797.7170,73,gourmet,9.859575,-83.902826
33,Narváez y Leyva y Asociados,"Callejón Sur Batista 766 Edif. 318 , Depto. 490, Cartago, CR",656-231-1644,78,casual,9.845029,-83.921306
34,Burgos y Frías e Hijos,"Retorno Libia 220 Edif. 741 , Depto. 824, Cartago, CR",+71(8)7126269924,54,fast-food,9.859775,-83.916592
35,Club Razo-Vera,"Prolongación Norte Sierra 701 Edif. 619 , Depto. 255, Cartago, CR",+31(2)7855050641,34,gourmet,9.87659,-83.9035
36,Casas-Garibay,"Viaducto Guerrero 802 Edif. 997 , Depto. 100, Cartago, CR",1-833-986-2909,109,casual,9.873516,-83.942425
37,Proyectos Arce-Rael,"Ampliación Reino Unido de Gran Bretaña e Irlanda del Norte 202 Edif. 078 , Depto. 195, Cartago, CR",(436)206-2944x850,83,gourmet,9.879367,-83.914315
38,Mora y Olivares S.C.,"Continuación Munguía 938 Interior 163, Cartago, CR",773.519.1840,68,gourmet,9.874634,-83.939766
